"species" "time"
"brocket" 0.671527778
"squirrel" 0.326388889
"brocket" 0.915972222
"agouti" 0.345138889
"brocket" 0.247916667
"agouti" 0.371527778
"agouti" 0.340972222
"agouti" 0.570138889
"agouti" 0.743055556
"agouti" 0.353472222
"mouse" 0.095833333
"mouse" 0.196527778
"coati" 0.315972222
"coati" 0.318055556
"mouse" 0.922222222
"peccary" 0.364583333
"coati" 0.305555556
"brocket" 0.959027778
"armadillo" 0.877083333
"agouti" 0.306944444
"tamandua" 0.45
"coati" 0.4125
"agouti" 0.736805556
"agouti" 0.304166667
"coati" 0.30625
"agouti" 0.711111111
"ocelot" 0.015972222
"brocket" 0.14375
"coati" 0.302083333
"brocket" 0.272916667
"agouti" 0.322916667
"agouti" 0.347222222
"agouti" 0.359027778
"peccary" 0.393055556
"agouti" 0.395833333
"agouti" 0.342361111
"agouti" 0.351388889
"coati" 0.573611111
"agouti" 0.274305556
"agouti" 0.631944444
"brocket" 0.245833333
"brocket" 0.245833333
"agouti" 0.310416667
"opossum" 0.816666667
"ocelot" 0.11875
"agouti" 0.322222222
"brocket" 0.702083333
"brocket" 0.339583333
"agouti" 0.661111111
"brocket" 0.595833333
"brocket" 0.747222222
"tayra" 0.710416667
"paca" 0.871527778
"tayra" 0.663888889
"ocelot" 0.006944444
"tayra" 0.638194444
"brocket" 0.594444444
"peccary" 0.243055556
"brocket" 0.410416667
"brocket" 0.877083333
"brocket" 0.013194444
"brocket" 0.105555556
"peccary" 0.811805556
"peccary" 0.256944444
"peccary" 0.263194444
"peccary" 0.647916667
"agouti" 0.714583333
"agouti" 0.335416667
"agouti" 0.310416667
"peccary" 0.722222222
"peccary" 0.311805556
"coati" 0.351388889
"peccary" 0.329166667
"agouti" 0.28125
"brocket" 0.865972222
"peccary" 0.729166667
"coati" 0.313194444
"coati" 0.368055556
"paca" 0.865277778
"peccary" 0.313194444
"peccary" 0.4625
"rat" 0.1
"squirrel" 0.301388889
"agouti" 0.366666667
"peccary" 0.374305556
"squirrel" 0.439583333
"agouti" 0.743055556
"brocket" 0.953472222
"peccary" 0.734027778
"agouti" 0.685416667
"agouti" 0.695833333
"brocket" 0.3
"agouti" 0.315277778
"agouti" 0.411805556
"squirrel" 0.4125
"agouti" 0.511111111
"agouti" 0.694444444
"agouti" 0.403472222
"agouti" 0.450694444
"agouti" 0.501388889
"agouti" 0.671527778
"brocket" 0.825
"agouti" 0.669444444
"agouti" 0.680555556
"brocket" 0.014583333
"agouti" 0.26875
"agouti" 0.299305556
"agouti" 0.7375
"agouti" 0.401388889
"agouti" 0.528472222
"coati" 0.523611111
"agouti" 0.641666667
"agouti" 0.653472222
"agouti" 0.690277778
"agouti" 0.69375
"agouti" 0.730555556
"brocket" 0.148611111
"agouti" 0.365972222
"agouti" 0.440277778
"agouti" 0.442361111
"agouti" 0.44375
"peccary" 0.734027778
"brocket" 0.139583333
"agouti" 0.395833333
"agouti" 0.753472222
"coati" 0.55625
"agouti" 0.688194444
"agouti" 0.688888889
"agouti" 0.311111111
"agouti" 0.424305556
"agouti" 0.758333333
"agouti" 0.334027778
"agouti" 0.341666667
"peccary" 0.393055556
"agouti" 0.693055556
"brocket" 0.827777778
"peccary" 0.603472222
"peccary" 0.714583333
"agouti" 0.756944444
"peccary" 0.770138889
"peccary" 0.297222222
"agouti" 0.333333333
"peccary" 0.3375
"agouti" 0.418055556
"agouti" 0.445138889
"agouti" 0.445833333
"peccary" 0.672916667
"peccary" 0.675
"agouti" 0.726388889
"peccary" 0.863888889
"agouti" 0.292361111
"agouti" 0.534027778
"agouti" 0.536111111
"agouti" 0.593055556
"agouti" 0.674305556
"agouti" 0.680555556
"agouti" 0.68125
"agouti" 0.686805556
"rat" 0.195833333
"peccary" 0.279861111
"peccary" 0.291666667
"agouti" 0.470138889
"agouti" 0.49375
"agouti" 0.671527778
"agouti" 0.673611111
"peccary" 0.854166667
"agouti" 0.275694444
"agouti" 0.35625
"agouti" 0.563194444
"agouti" 0.599305556
"peccary" 0.695138889
"agouti" 0.2875
"agouti" 0.314583333
"peccary" 0.340277778
"agouti" 0.490277778
"agouti" 0.506944444
"agouti" 0.526388889
"agouti" 0.315972222
"agouti" 0.325694444
"ocelot" 0.375694444
"agouti" 0.404166667
"agouti" 0.45
"agouti" 0.520833333
"agouti" 0.681944444
"agouti" 0.704861111
"agouti" 0.713888889
"peccary" 0.723611111
"peccary" 0.725
"agouti" 0.429166667
"agouti" 0.505555556
"agouti" 0.652777778
"agouti" 0.666666667
"agouti" 0.683333333
"agouti" 0.717361111
"peccary" 0.943055556
"agouti" 0.423611111
"agouti" 0.725
"peccary" 0.738888889
"agouti" 0.740972222
"rat" 0.097916667
"agouti" 0.344444444
"agouti" 0.545138889
"agouti" 0.730555556
"peccary" 0.734027778
"agouti" 0.736805556
"agouti" 0.741666667
"paca" 0.877083333
"paca" 0.892361111
"agouti" 0.588194444
"agouti" 0.671527778
"peccary" 0.677083333
"peccary" 0.717361111
"ocelot" 0.259722222
"peccary" 0.332638889
"peccary" 0.43125
"agouti" 0.645138889
"peccary" 0.869444444
"peccary" 0.871527778
"agouti" 0.702777778
"peccary" 0.33125
"agouti" 0.489583333
"peccary" 0.760416667
"peccary" 0.795138889
"ocelot" 0.092361111
"paca" 0.102083333
"paca" 0.125694444
"agouti" 0.322222222
"peccary" 0.329166667
"peccary" 0.722916667
"peccary" 0.332638889
"agouti" 0.39375
"agouti" 0.418055556
"agouti" 0.325
"agouti" 0.354166667
"agouti" 0.368055556
"peccary" 0.90625
"agouti" 0.389583333
"agouti" 0.632638889
"agouti" 0.685416667
"peccary" 0.741666667
"peccary" 0.74375
"peccary" 0.967361111
"peccary" 0.030555556
"peccary" 0.595833333
"peccary" 0.600694444
"peccary" 0.735416667
"peccary" 0.7375
"peccary" 0.739583333
"peccary" 0.788888889
"peccary" 0.794444444
"agouti" 0.352777778
"agouti" 0.450694444
"agouti" 0.772222222
"agouti" 0.777083333
"peccary" 0.931944444
"paca" 0.971527778
"agouti" 0.3375
"agouti" 0.577777778
"paca" 0.969444444
"agouti" 0.286805556
"agouti" 0.305555556
"agouti" 0.710416667
"squirrel" 0.33125
"paca" 0.901388889
"paca" 0.902083333
"paca" 0.059027778
"agouti" 0.33125
"agouti" 0.334027778
"agouti" 0.336111111
"agouti" 0.340277778
"agouti" 0.649305556
"paca" 0.151388889
"peccary" 0.263194444
"squirrel" 0.645138889
"agouti" 0.697916667
"agouti" 0.699305556
"agouti" 0.774305556
"agouti" 0.778472222
"agouti" 0.286111111
"agouti" 0.65625
"agouti" 0.667361111
"paca" 0.042361111
"paca" 0.050694444
"agouti" 0.285416667
"mouse" 0.880555556
"ocelot" 0.125
"peccary" 0.248611111
"agouti" 0.585416667
"peccary" 0.663194444
"peccary" 0.836111111
"peccary" 0.853472222
"peccary" 0.859722222
"agouti" 0.289583333
"peccary" 0.975
"peccary" 0.995833333
"peccary" 0.147916667
"agouti" 0.276388889
"peccary" 0.15
"agouti" 0.320833333
"agouti" 0.333333333
"brocket" 0.713888889
"peccary" 0.817361111
"peccary" 0.856944444
"agouti" 0.284722222
"peccary" 0.809027778
"peccary" 0.811111111
"peccary" 0.85625
"agouti" 0.635416667
"peccary" 0.261111111
"peccary" 0.28125
"peccary" 0.281944444
"peccary" 0.25
"agouti" 0.343055556
"agouti" 0.415972222
"agouti" 0.659027778
"peccary" 0.755555556
"coati" 0.715277778
"peccary" 0.754861111
"peccary" 0.757638889
"coati" 0.757638889
"peccary" 0.238888889
"agouti" 0.313194444
"agouti" 0.431944444
"brocket" 0.538888889
"agouti" 0.736805556
"brocket" 0.786111111
"peccary" 0.272916667
"peccary" 0.277777778
"agouti" 0.322222222
"agouti" 0.515277778
"brocket" 0.573611111
"peccary" 0.843055556
"squirrel" 0.6625
"peccary" 0.785416667
"peccary" 0.80625
"peccary" 0.853472222
"agouti" 0.304861111
"brocket" 0.31875
"agouti" 0.516666667
"brocket" 0.214583333
"agouti" 0.333333333
"brocket" 0.644444444
"agouti" 0.463194444
"ocelot" 0.659027778
"agouti" 0.734027778
"peccary" 0.253472222
"agouti" 0.334722222
"agouti" 0.699305556
"agouti" 0.730555556
"brocket" 0.304166667
"agouti" 0.351388889
"agouti" 0.459722222
"agouti" 0.620833333
"agouti" 0.624305556
"agouti" 0.651388889
"agouti" 0.657638889
"agouti" 0.701388889
"ocelot" 0.941666667
"agouti" 0.380555556
"agouti" 0.390277778
"agouti" 0.571527778
"agouti" 0.329861111
"agouti" 0.349305556
"agouti" 0.415972222
"coati" 0.729861111
"coati" 0.346527778
"coati" 0.563194444
"coati" 0.305555556
"agouti" 0.339583333
"peccary" 0.426388889
"agouti" 0.340277778
"peccary" 0.802777778
"paca" 0.055555556
"agouti" 0.322222222
"agouti" 0.777083333
"coati" 0.724305556
"agouti" 0.758333333
"peccary" 0.814583333
"peccary" 0.015277778
"opossum" 0.195833333
"peccary" 0.282638889
"peccary" 0.290277778
"peccary" 0.292361111
"coati" 0.292361111
"agouti" 0.442361111
"coati" 0.503472222
"peccary" 0.689583333
"peccary" 0.690972222
"peccary" 0.691666667
"peccary" 0.693055556
"peccary" 0.729861111
"agouti" 0.738888889
"peccary" 0.74375
"peccary" 0.761111111
"paca" 0.053472222
"agouti" 0.267361111
"agouti" 0.273611111
"peccary" 0.736805556
"peccary" 0.744444444
"peccary" 0.747916667
"peccary" 0.7625
"peccary" 0.810416667
"peccary" 0.146527778
"peccary" 0.266666667
"agouti" 0.274305556
"coati" 0.28125
"agouti" 0.425694444
"coati" 0.499305556
"peccary" 0.692361111
"agouti" 0.751388889
"agouti" 0.763888889
"peccary" 0.773611111
"peccary" 0.792361111
"peccary" 0.824305556
"peccary" 0.826388889
"peccary" 0.831944444
"peccary" 0.15625
"peccary" 0.159722222
"peccary" 0.227777778
"peccary" 0.257638889
"peccary" 0.260416667
"peccary" 0.285416667
"peccary" 0.295833333
"brocket" 0.311805556
"agouti" 0.347222222
"agouti" 0.679166667
"peccary" 0.797222222
"peccary" 0.799305556
"peccary" 0.804166667
"peccary" 0.806944444
"peccary" 0.975694444
"peccary" 0.250694444
"peccary" 0.257638889
"peccary" 0.260416667
"peccary" 0.445138889
"peccary" 0.804166667
"brocket" 0.909722222
"ocelot" 0.057638889
"ocelot" 0.104861111
"agouti" 0.327083333
"agouti" 0.355555556
"agouti" 0.361805556
"coati" 0.661805556
"coati" 0.665972222
"coati" 0.670138889
"coati" 0.671527778
"agouti" 0.75625
"peccary" 0.103472222
"agouti" 0.294444444
"peccary" 0.309027778
"peccary" 0.402777778
"peccary" 0.404166667
"peccary" 0.40625
"peccary" 0.409027778
"agouti" 0.481944444
"peccary" 0.688194444
"peccary" 0.696527778
"peccary" 0.700694444
"peccary" 0.703472222
"peccary" 0.713888889
"peccary" 0.714583333
"peccary" 0.717361111
"peccary" 0.718055556
"peccary" 0.726388889
"agouti" 0.747222222
"peccary" 0.930555556
"peccary" 0.059027778
"peccary" 0.213888889
"peccary" 0.225
"peccary" 0.250694444
"peccary" 0.270833333
"peccary" 0.273611111
"coati" 0.308333333
"agouti" 0.313888889
"peccary" 0.331944444
"peccary" 0.413194444
"peccary" 0.415277778
"peccary" 0.416666667
"agouti" 0.472222222
"agouti" 0.73125
"agouti" 0.748611111
"brocket" 0.761805556
"peccary" 0.763194444
"peccary" 0.878472222
"peccary" 0.042361111
"peccary" 0.044444444
"peccary" 0.051388889
"peccary" 0.067361111
"paca" 0.117361111
"peccary" 0.261111111
"agouti" 0.288194444
"agouti" 0.292361111
"peccary" 0.292361111
"coati" 0.297916667
"coati" 0.3
"agouti" 0.320833333
"peccary" 0.352083333
"peccary" 0.353472222
"agouti" 0.388888889
"coati" 0.640972222
"coati" 0.647916667
"coati" 0.652083333
"coati" 0.654166667
"agouti" 0.65625
"coati" 0.65625
"coati" 0.669444444
"peccary" 0.690972222
"agouti" 0.720833333
"peccary" 0.788194444
"peccary" 0.796527778
"paca" 0.86875
"peccary" 0.880555556
"peccary" 0.922222222
"peccary" 0.927777778
"peccary" 0.054166667
"peccary" 0.061805556
"peccary" 0.066666667
"peccary" 0.070138889
"paca" 0.079861111
"paca" 0.080555556
"peccary" 0.084027778
"peccary" 0.106944444
"peccary" 0.151388889
"agouti" 0.320833333
"peccary" 0.322916667
"peccary" 0.323611111
"agouti" 0.391666667
"peccary" 0.805555556
"peccary" 0.051388889
"peccary" 0.142361111
"peccary" 0.1625
"agouti" 0.286805556
"peccary" 0.286805556
"peccary" 0.296527778
"peccary" 0.341666667
"agouti" 0.357638889
"peccary" 0.367361111
"agouti" 0.370138889
"agouti" 0.425694444
"agouti" 0.788888889
"peccary" 0.795138889
"peccary" 0.796527778
"peccary" 0.798611111
"peccary" 0.800694444
"peccary" 0.808333333
"peccary" 0.938888889
"peccary" 0.948611111
"peccary" 0.080555556
"peccary" 0.201388889
"peccary" 0.258333333
"peccary" 0.275694444
"peccary" 0.286805556
"agouti" 0.289583333
"peccary" 0.295138889
"agouti" 0.299305556
"peccary" 0.321527778
"peccary" 0.327777778
"peccary" 0.329861111
"peccary" 0.338194444
"agouti" 0.465277778
"agouti" 0.701388889
"peccary" 0.719444444
"paca" 0.874305556
"peccary" 0.886111111
"peccary" 0.104861111
"peccary" 0.129166667
"peccary" 0.260416667
"peccary" 0.267361111
"peccary" 0.275
"agouti" 0.335416667
"peccary" 0.419444444
"peccary" 0.422916667
"peccary" 0.423611111
"agouti" 0.713194444
"peccary" 0.75
"peccary" 0.038888889
"peccary" 0.044444444
"peccary" 0.052083333
"paca" 0.100694444
"peccary" 0.329166667
"agouti" 0.336805556
"agouti" 0.340972222
"peccary" 0.4
"peccary" 0.404861111
"peccary" 0.756944444
"peccary" 0.756944444
"peccary" 0.75625
"peccary" 0.75625
"peccary" 0.75625
"peccary" 0.755555556
"peccary" 0.66875
"coati" 0.345138889
"coati" 0.344444444
"agouti" 0.76875
"peccary" 0.273611111
"coati" 0.644444444
"peccary" 0.24375
"coati" 0.30625
"peccary" 0.257638889
"squirrel" 0.302083333
"coati" 0.523611111
"agouti" 0.694444444
"peccary" 0.725694444
"agouti" 0.74375
"peccary" 0.74375
"peccary" 0.791666667
"peccary" 0.791666667
"peccary" 0.790972222
"peccary" 0.790277778
"peccary" 0.789583333
"peccary" 0.789583333
"peccary" 0.858333333
"peccary" 0.857638889
"peccary" 0.254861111
"peccary" 0.254166667
"peccary" 0.252777778
"peccary" 0.252083333
"peccary" 0.251388889
"peccary" 0.845138889
"peccary" 0.788888889
"peccary" 0.788194444
"peccary" 0.786111111
"agouti" 0.334027778
"agouti" 0.290277778
"agouti" 0.365277778
"coati" 0.380555556
"ocelot" 0.498611111
"peccary" 0.722916667
"peccary" 0.357638889
"peccary" 0.372222222
"agouti" 0.711805556
"agouti" 0.325
"agouti" 0.368055556
"agouti" 0.372916667
"agouti" 0.374305556
"agouti" 0.69375
"peccary" 0.760416667
"agouti" 0.353472222
"agouti" 0.697916667
"squirrel" 0.286111111
"peccary" 0.308333333
"agouti" 0.304861111
"agouti" 0.403472222
"paca" 0.945138889
"agouti" 0.339583333
"agouti" 0.579166667
"agouti" 0.579861111
"agouti" 0.342361111
"peccary" 0.7
"peccary" 0.700694444
"peccary" 0.704861111
"coati" 0.291666667
"agouti" 0.31875
"agouti" 0.306944444
"armadillo" 0.834722222
"coati" 0.541666667
"coati" 0.591666667
"brocket" 0.006944444
"agouti" 0.295138889
"agouti" 0.331944444
"opossum" 0.143055556
"agouti" 0.754861111
"agouti" 0.716666667
"squirrel" 0.297222222
"peccary" 0.299305556
"agouti" 0.752777778
"agouti" 0.754166667
"peccary" 0.838194444
"agouti" 0.377777778
"agouti" 0.379861111
"agouti" 0.731944444
"agouti" 0.716666667
"brocket" 0.917361111
"agouti" 0.375694444
"agouti" 0.292361111
"peccary" 0.327777778
"peccary" 0.328472222
"agouti" 0.383333333
"agouti" 0.698611111
"agouti" 0.283333333
"agouti" 0.492361111
"agouti" 0.305555556
"peccary" 0.327083333
"agouti" 0.379166667
"agouti" 0.443055556
"agouti" 0.463194444
"peccary" 0.2625
"agouti" 0.38125
"peccary" 0.713888889
"peccary" 0.041666667
"peccary" 0.347222222
"agouti" 0.419444444
"agouti" 0.439583333
"peccary" 0.668055556
"peccary" 0.750694444
"agouti" 0.320833333
"peccary" 0.334027778
"agouti" 0.411111111
"peccary" 0.698611111
"brocket" 0.321527778
"agouti" 0.336805556
"peccary" 0.811111111
"agouti" 0.738194444
"brocket" 0.990972222
"agouti" 0.283333333
"agouti" 0.341666667
"agouti" 0.344444444
"agouti" 0.448611111
"agouti" 0.45
"agouti" 0.550694444
"agouti" 0.735416667
"agouti" 0.736805556
"brocket" 0.772222222
"brocket" 0.10625
"tamandua" 0.576388889
"agouti" 0.745138889
"paca" 0.120833333
"agouti" 0.300694444
"agouti" 0.33125
"agouti" 0.59375
"agouti" 0.595138889
"agouti" 0.629166667
"agouti" 0.729166667
"agouti" 0.349305556
"paca" 0.134722222
"agouti" 0.515277778
"agouti" 0.664583333
"agouti" 0.680555556
"peccary" 0.853472222
"peccary" 0.861111111
"agouti" 0.636805556
"peccary" 0.782638889
"agouti" 0.595833333
"peccary" 0.627083333
"agouti" 0.748611111
"agouti" 0.65
"agouti" 0.691666667
"agouti" 0.776388889
"peccary" 0.842361111
"peccary" 0.844444444
"peccary" 0.845138889
"agouti" 0.724305556
"agouti" 0.728472222
"peccary" 0.758333333
"peccary" 0.913888889
"peccary" 0.929166667
"peccary" 0.082638889
"peccary" 0.313888889
"peccary" 0.320138889
"agouti" 0.334722222
"agouti" 0.438194444
"peccary" 0.621527778
"peccary" 0.622916667
"peccary" 0.623611111
"agouti" 0.709027778
"agouti" 0.753472222
"peccary" 0.325694444
"agouti" 0.330555556
"brocket" 0.272222222
"peccary" 0.306944444
"peccary" 0.324305556
"peccary" 0.763194444
"agouti" 0.63125
"peccary" 0.650694444
"peccary" 0.807638889
"peccary" 0.865972222
"peccary" 0.884027778
"peccary" 0.886111111
"peccary" 0.281944444
"agouti" 0.618055556
"agouti" 0.621527778
"peccary" 0.664583333
"peccary" 0.826388889
"agouti" 0.540972222
"peccary" 0.834027778
"peccary" 0.888888889
"peccary" 0.004166667
"peccary" 0.285416667
"peccary" 0.298611111
"agouti" 0.333333333
"agouti" 0.320138889
"agouti" 0.395833333
"agouti" 0.444444444
"peccary" 0.533333333
"agouti" 0.671527778
"agouti" 0.671527778
"peccary" 0.746527778
"peccary" 0.822916667
"peccary" 0.828472222
"agouti" 0.284027778
"agouti" 0.318055556
"peccary" 0.381944444
"peccary" 0.383333333
"peccary" 0.385416667
"agouti" 0.522916667
"agouti" 0.6625
"peccary" 0.051388889
"agouti" 0.272222222
"peccary" 0.709722222
"agouti" 0.291666667
"peccary" 0.392361111
"agouti" 0.429166667
"peccary" 0.469444444
"agouti" 0.540972222
"agouti" 0.564583333
"agouti" 0.707638889
"peccary" 0.755555556
"peccary" 0.002083333
"peccary" 0.134722222
"agouti" 0.277777778
"agouti" 0.39375
"agouti" 0.498611111
"peccary" 0.7
"agouti" 0.726388889
"peccary" 0.963194444
"peccary" 0.748611111
"peccary" 0.822222222
"peccary" 0.845833333
"paca" 0.159722222
"agouti" 0.425694444
"agouti" 0.745138889
"peccary" 0.760416667
"peccary" 0.761111111
"agouti" 0.309722222
"peccary" 0.365972222
"agouti" 0.585416667
"agouti" 0.604861111
"agouti" 0.678472222
"agouti" 0.336805556
"agouti" 0.643055556
"agouti" 0.284027778
"agouti" 0.523611111
"agouti" 0.308333333
"peccary" 0.313194444
"agouti" 0.369444444
"agouti" 0.4125
"agouti" 0.438888889
"agouti" 0.439583333
"peccary" 0.916666667
"agouti" 0.26875
"agouti" 0.334722222
"agouti" 0.651388889
"agouti" 0.720833333
"paca" 0.161111111
"paca" 0.173611111
"agouti" 0.583333333
"peccary" 0.759722222
"peccary" 0.760416667
"agouti" 0.305555556
"agouti" 0.367361111
"agouti" 0.372916667
"agouti" 0.471527778
"agouti" 0.551388889
"agouti" 0.2875
"coati" 0.729861111
"agouti" 0.734722222
"agouti" 0.722916667
"agouti" 0.610416667
"brocket" 0.10625
"agouti" 0.296527778
"tayra" 0.513194444
"agouti" 0.556944444
"agouti" 0.745138889
"brocket" 0.13125
"agouti" 0.372222222
"squirrel" 0.702777778
"opossum" 0.215972222
"agouti" 0.313888889
"agouti" 0.355555556
"agouti" 0.738194444
"agouti" 0.471527778
"brocket" 0.738888889
"agouti" 0.757638889
"squirrel" 0.354166667
"tayra" 0.5125
"agouti" 0.734027778
"agouti" 0.349305556
"agouti" 0.525
"agouti" 0.354166667
"squirrel" 0.538194444
"agouti" 0.713194444
"agouti" 0.717361111
"agouti" 0.719444444
"agouti" 0.354166667
"agouti" 0.355555556
"agouti" 0.293055556
"coati" 0.604166667
"coati" 0.604166667
"agouti" 0.636111111
"coati" 0.286111111
"agouti" 0.348611111
"agouti" 0.400694444
"squirrel" 0.322222222
"rat" 0.191666667
"paca" 0.216666667
"agouti" 0.668055556
"peccary" 0.546527778
"peccary" 0.973611111
"peccary" 0.032638889
"peccary" 0.310416667
"agouti" 0.288194444
"peccary" 0.845833333
"peccary" 0.940277778
"peccary" 0.947916667
"peccary" 0.064583333
"agouti" 0.648611111
"agouti" 0.663888889
"agouti" 0.295833333
"peccary" 0.986111111
"peccary" 0.989583333
"agouti" 0.683333333
"agouti" 0.749305556
"agouti" 0.297222222
"agouti" 0.713194444
"brocket" 0.305555556
"agouti" 0.642361111
"agouti" 0.443055556
"brocket" 0.485416667
"peccary" 0.820138889
"ocelot" 0.602083333
"agouti" 0.440277778
"agouti" 0.522222222
"peccary" 0.75625
"paca" 0.069444444
"peccary" 0.613194444
"peccary" 0.941666667
"peccary" 0.223611111
"agouti" 0.636805556
"peccary" 0.821527778
"peccary" 0.884027778
"agouti" 0.576388889
"agouti" 0.640277778
"agouti" 0.310416667
"agouti" 0.706944444
"peccary" 0.752083333
"peccary" 0.24375
"agouti" 0.323611111
"peccary" 0.311805556
"peccary" 0.313194444
"agouti" 0.640972222
"peccary" 0.725
"peccary" 0.734722222
"agouti" 0.759027778
"peccary" 0.702083333
"peccary" 0.913194444
"peccary" 0.238888889
"peccary" 0.696527778
"agouti" 0.747916667
"peccary" 0.344444444
"agouti" 0.663888889
"peccary" 0.950694444
"coati" 0.2875
"rat" 0.252083333
"brocket" 0.382638889
"rat" 0.191666667
"agouti" 0.752777778
"peccary" 0.792361111
"peccary" 0.944444444
"paca" 0.172916667
"peccary" 0.072222222
"peccary" 0.777777778
"peccary" 0.779861111
"peccary" 0.935416667
"peccary" 0.9375
"peccary" 0.938194444
"peccary" 0.045138889
"peccary" 0.0625
"peccary" 0.965972222
"paca" 0.147916667
"paca" 0.150694444
"peccary" 0.172916667
"peccary" 0.709027778
"paca" 0.202777778
"peccary" 0.804166667
"agouti" 0.274305556
"agouti" 0.309722222
"agouti" 0.566666667
"brocket" 0.982638889
"agouti" 0.308333333
"agouti" 0.744444444
"agouti" 0.275
"agouti" 0.302083333
"brocket" 0.433333333
"paca" 0.055555556
"agouti" 0.365972222
"agouti" 0.420138889
"agouti" 0.514583333
"agouti" 0.283333333
"agouti" 0.342361111
"agouti" 0.584027778
"brocket" 0.923611111
"paca" 0.088194444
"agouti" 0.293055556
"paca" 0.219444444
"agouti" 0.330555556
"squirrel" 0.4375
"agouti" 0.478472222
